ID;Name;Land_Nr;Erst_Ges;Zweit_Ges;Erst_Ges_AFD;Zweit_Ges_AFD;Anteil_AFD
1;Flensburg – Schleswig;1.0;178575.0;178625.0;9768.0;10317.0;5.775787263820853
2;Nordfriesland – Dithmarschen Nord;1.0;144050.0;144145.0;8274.0;8798.0;6.103576260015956
3;Steinburg – Dithmarschen Süd;1.0;134980.0;135109.0;10429.0;11303.0;8.365837953060122
4;Rendsburg-Eckernförde;1.0;160650.0;160955.0;10200.0;10564.0;6.563325152993073
5;Kiel;1.0;154816.0;155068.0;7147.0;7654.0;4.935899089431733
6;Plön – Neumünster;1.0;131962.0;132527.0;9404.0;9741.0;7.350200336535197
7;Pinneberg;1.0;190069.0;190270.0;12141.0;13080.0;6.874441583013612
8;Segeberg – Stormarn-Mitte;1.0;197918.0;198265.0;14040.0;14527.0;7.327062265150178
9;Ostholstein – Stormarn-Nord;1.0;141791.0;141966.0;9647.0;10073.0;7.095360861051238
10;Herzogtum Lauenburg – Stormarn-Süd;1.0;195327.0;195587.0;14053.0;14682.0;7.506633876484633
11;Lübeck;1.0;129875.0;130237.0;8538.0;8827.0;6.777643833933521
12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;13.0;153608.0;154163.0;25393.0;24185.0;15.687940686156859
13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;13.0;144046.0;144104.0;24760.0;24673.0;17.121662132904014
14;Rostock – Landkreis Rostock II;13.0;163010.0;162977.0;19882.0;20658.0;12.675408186431214
15;Vorpommern-Rügen – Vorpommern-Greifswald I;13.0;166153.0;165779.0;33025.0;31303.0;18.882367489247734
16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;13.0;150668.0;151038.0;36597.0;35102.0;23.24050901097737
17;Mecklenburgische Seenplatte II – Landkreis Rostock III;13.0;140601.0;140798.0;30320.0;29421.0;20.895893407576814
18;Hamburg-Mitte;2.0;178198.0;178555.0;8664.0;9100.0;5.096468875136512
19;Hamburg-Altona;2.0;151883.0;152095.0;5191.0;5036.0;3.311088464446563
20;Hamburg-Eimsbüttel;2.0;160039.0;160365.0;5450.0;5662.0;3.530695600660992
21;Hamburg-Nord;2.0;184223.0;184691.0;6259.0;6811.0;3.687781212944865
22;Hamburg-Wandsbek;2.0;172336.0;172821.0;11490.0;11290.0;6.532770901684402
23;Hamburg-Bergedorf – Harburg;2.0;156645.0;157017.0;12774.0;12638.0;8.04881000146481
24;Aurich – Emden;3.0;135561.0;136194.0;;11173.0;8.203738784381104
25;Unterems;3.0;173747.0;174276.0;13584.0;14248.0;8.17553765291836
26;Friesland – Wilhelmshaven – Wittmund;3.0;132976.0;132930.0;10227.0;10951.0;8.238170465658618
27;Oldenburg – Ammerland;3.0;172328.0;172550.0;8572.0;8903.0;5.159663865546219
28;Delmenhorst – Wesermarsch – Oldenburg-Land;3.0;161972.0;162158.0;11999.0;12987.0;8.008855560626056
29;Cuxhaven – Stade II;3.0;139672.0;139716.0;10227.0;11000.0;7.873114031320679
30;Stade I – Rotenburg II;3.0;150633.0;150886.0;10735.0;11002.0;7.291597629998807
